timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid
1553843792420,1,1,1,1,0,0,3,2,1,32
1553843793415,0,0,3,1,1,0,3,4,1,32
1553843794399,11315,8588,3947,7456,1770,1222,336265,47531,1,32
1553843795411,397,36,761,2647,79,81,3721,1512,1,32
1553843796419,672,1921,702,742,101,221,15331,11404,1,32
1553843797410,983,864,1203,449,271,331,1905,815,1,32
1553843798422,5587,1871,714,674,437,522,2282,1794,1,32
1553843799394,3647,432,1436,3798,196,1088,51042,39865,1,32
1553843800386,3654,26512,4300,15205,698,1809,86613,177771,1,32
1553843801365,37022,24612,13460,53616,10074,9009,245160,121536,1,32
1553843802376,10641,9616,10276,15550,7949,11662,490171,141200,1,32
1553843803371,15489,26998,10240,9459,3968,6356,1036780,36273,1,32
1553843804372,77221,132427,24631,42581,37334,24492,600892,724358,1,32
1553843805353,9533,114082,66796,92428,13072,26470,1600776,377774,1,32
1553843806353,15191,19437,9655,8298,4067,2701,233673,139049,1,32
1553843807337,4927,17553,20648,17079,8916,7092,78481,19080,1,32
1553843808354,3221,1252,11821,10887,1641,948,256388,8334,1,32
1553843809324,7864,12983,24789,16087,11656,5678,39598,35150,1,32
1553843810327,14360,5693,37082,4752,10305,10211,50929,10723,1,32
1553843811333,21138,37451,15259,22485,4994,13550,412483,43845,1,32
1553843812314,5941,2718,6474,5483,2717,2902,88689,33266,1,32
1553843813327,12760,10161,14701,19617,7975,6507,30133,525,1,32
1553843814299,33158,5594,16626,18650,6601,4039,13687,22846,1,32
1553843815312,10028,7009,3725,2234,1176,2863,27791,25250,1,32
1553843816294,4181,245,8438,5274,2013,1817,28709,8102,1,32
1553843817279,2574,1765,3780,2666,2947,5253,57877,34481,1,32
1553843818281,3612,2807,3346,4378,1742,1880,60874,13008,1,32
1553843819296,11524,15196,15836,6596,5321,7150,435722,70977,1,32
1553843820264,3304,4421,17539,13522,2129,2958,7923,13107,1,32
1553843821276,1792,2567,5257,3194,1846,3508,59061,12935,1,32
1553843822287,5814,4510,17364,10168,8742,9803,32092,19304,1,32
1553843823264,34893,17240,12803,24688,11696,4951,11517,11164,1,32
1553843824252,7857,13641,37727,7078,4359,9716,31155,9418,1,32
1553843825306,4638,21200,2576,4119,1909,3172,128232,30323,1,32
1553843826236,5208,7344,15798,13270,5493,7814,5228,11686,1,32
1553843827252,29547,10200,23721,6246,10876,8451,12126,2161,1,32
1553843828262,5573,11535,62503,6822,5421,7104,5916,15244,1,32
1553843829246,3497,2720,7120,2807,1564,1719,20169,17884,1,32
1553843830240,2714,4228,5835,14334,2744,3140,6582,6021,1,32
1553843831226,4825,5509,6874,13818,3166,3716,9861,13568,1,32
1553843832228,10052,3480,22847,4706,2664,4484,799,17497,1,32
1553843833224,14965,6443,17130,27412,3947,7065,10059,5689,1,32
