timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time
1548206310348,10848,11764,5555,5745,1849,3063,2939,7542,1,6,1548206309344.0,1.004,62.699
1548206311328,12650,5758,3704,4982,1526,1912,9269,6903,1,6,1548206310348.0,0.98,63.679
1548206312329,6904,1510,5812,5252,2043,5422,21643,5079,1,6,1548206311328.0,1.001,64.68
1548206313333,29068,4994,8543,6719,890,6391,12900,11915,1,6,1548206312329.0,1.004,65.684
1548206314319,5054,25761,5491,10085,4193,2515,2029,7773,1,6,1548206313333.0,0.986,66.67
1548206315299,5552,4407,8015,7257,4127,10407,8853,6684,1,6,1548206314319.0,0.98,67.65
1548206316323,3415,6545,8206,9971,2404,2510,6029,5143,1,6,1548206315299.0,1.024,68.674
1548206317308,10473,2254,6153,6547,1523,3575,17315,9066,1,6,1548206316323.0,0.985,69.659
1548206318303,6023,6143,6326,8729,3424,7757,2823,9097,1,6,1548206317308.0,0.995,70.654
1548206319304,6492,4518,8073,5842,2734,2495,4527,4020,1,6,1548206318303.0,1.001,71.655
1548206320306,8109,9961,9609,4165,4010,1911,8549,16080,1,6,1548206319304.0,1.002,72.657
1548206321295,1851,3070,2141,1940,577,1667,7898,12169,1,6,1548206320306.0,0.989,73.646
1548206322288,1989,935,1423,857,776,951,7246,5626,1,6,1548206321295.0,0.993,74.639
1548206323274,4611,4379,4115,4817,3519,7263,3420,6122,1,6,1548206322288.0,0.986,75.625
1548206324273,5440,4214,5023,3532,3323,4297,2016,4298,1,6,1548206323274.0,0.999,76.624
1548206325281,3113,13384,4961,9536,2407,2072,473,5953,1,6,1548206324273.0,1.008,77.632
1548206326243,20240,2553,4797,5402,6844,2233,4919,4043,1,6,1548206325281.0,0.962,78.594
1548206327242,2543,6731,4588,3745,2641,5945,1769,8784,1,6,1548206326243.0,0.999,79.593
1548206328246,4147,4905,5682,1625,4433,4020,7838,6793,1,6,1548206327242.0,1.004,80.597
1548206329232,3229,2157,9734,2373,1470,6698,4160,9033,1,6,1548206328246.0,0.986,81.583
1548206330244,33850,60655,13815,20641,16749,10835,522018,247191,1,6,1548206329232.0,1.012,82.595
1548206331228,3503,18758,9096,15577,11630,15601,28219,10773,1,6,1548206330244.0,0.984,83.579
1548206332232,4938,4684,14402,3394,8510,12111,4124,9752,1,6,1548206331228.0,1.004,84.583
